model,cat,strategy,divider,overlap,met,score
yolo11n,A_unfinetuned,bo_exploitation,3.0,0.04,map50,0.7407
yolo11n,A_unfinetuned,grid_search,4.0,0.5,map50,0.7682
yolo11n,B_finetuned_unsupervised,baseline,0.0,0.0,map50,0.0
yolo11n,B_finetuned_unsupervised,bo_exploration,2.0,0.46,map50,0.554
yolo11n,B_finetuned_unsupervised,bo_exploitation,2.0,0.48,map50,0.5506
yolo11n,B_finetuned_unsupervised,grid_search,4.0,0.5,map50,0.7634
yolo11n,C_finetuned_supervised,bo_exploration,3.0,0.13,map50,0.7358
yolo11n,C_finetuned_supervised,bo_exploitation,3.0,0.07,map50,0.7325
yolo11n,C_finetuned_supervised,grid_search,4.0,0.0,map50,0.7861
yolo11m,A_unfinetuned,baseline,0.0,0.0,map50,0.0015
yolo11m,A_unfinetuned,bo_exploration,3.0,0.5,map50,0.6238
yolo11m,A_unfinetuned,bo_exploitation,3.0,0.43,map50,0.6194
yolo11m,A_unfinetuned,grid_search,4.0,0.5,map50,0.6414
yolo11m,B_finetuned_unsupervised,baseline,0.0,0.0,map50,0.0
yolo11m,B_finetuned_unsupervised,bo_exploration,2.0,0.33,map50,0.6537
yolo11m,B_finetuned_unsupervised,bo_exploitation,3.0,0.44,map50,0.7992
yolo11m,B_finetuned_unsupervised,grid_search,4.0,0.5,map50,0.8222
yolo11m,C_finetuned_supervised,bo_exploration,4.0,0.5,map50,0.8222
yolo11m,C_finetuned_supervised,bo_exploitation,3.0,0.08,map50,0.801
yolo11m,C_finetuned_supervised,grid_search,4.0,0.0,map50,0.8382
yolo11n,A_unfinetuned,baseline,0.0,0.0,map50,0.0011
yolo11n,A_unfinetuned,bo_exploration,4.0,0.5,map50,0.7019
yolo11n,A_unfinetuned,bo_exploitation,3.0,0.41,map50,0.6675
yolo11n,A_unfinetuned,grid_search,4.0,0.5,map50,0.7019
yolo11n,B_finetuned_unsupervised,baseline,0.0,0.0,map50,0.0
yolo11n,B_finetuned_unsupervised,bo_exploration,3.0,0.45,map50,0.7343
yolo11n,B_finetuned_unsupervised,bo_exploitation,3.0,0.22,map50,0.7359
yolo11n,B_finetuned_unsupervised,grid_search,4.0,0.5,map50,0.7628
yolo11n,C_finetuned_supervised,bo_exploration,3.0,0.22,map50,0.7359
