model,n_samples,split,strategy,map_mean,map_std,f1_mean,f1_std,pre_mean,pre_std,rec_mean,rec_std
yolo11n,64,test_b01,baseline,0.526276923,0.075974399,0.556363462,0.068122876,0.586525,0.070272196,0.534269231,0.083267755
yolo11n,64,test_b01,grid_search,0.398921154,0.134428861,0.482896154,0.119455003,0.466496154,0.132446446,0.506740385,0.114357472
yolo11n,64,test_b02,baseline,0.634884615,0.101794055,0.648355769,0.073644846,0.664330769,0.104385272,0.640655769,0.064706458
yolo11n,64,test_b02,grid_search,0.560054902,0.120390992,0.596554902,0.096912138,0.592723529,0.118839015,0.612419608,0.101283736
yolo11n,64,test_b03,baseline,0.491245098,0.127980555,0.470401961,0.126559699,0.621870588,0.214279624,0.397909804,0.097521122
yolo11n,64,test_b03,grid_search,0.241684314,0.137397008,0.240770588,0.127094509,0.235543137,0.16457377,0.289731373,0.138068876
yolo11n,256,test_a01,baseline,0.933356863,0.011203254,0.919466667,0.010191598,0.9223,0.013218169,0.916852941,0.014399366
yolo11n,256,test_a01,grid_search,0.90797451,0.025744723,0.875170588,0.034081621,0.877182353,0.040676095,0.87465098,0.042811883
yolo11n,256,test_a02,baseline,0.799147059,0.045575398,0.808678431,0.031050438,0.815209804,0.035625633,0.803062745,0.035652091
yolo11n,256,test_a02,grid_search,0.720858824,0.046133507,0.735431373,0.034655727,0.726568627,0.044492586,0.747035294,0.047596197
yolo11n,256,test_a03,baseline,0.751762745,0.037237379,0.752215686,0.031195791,0.796747059,0.032897613,0.712813725,0.034225768
yolo11n,256,test_a03,grid_search,0.713076471,0.060371883,0.748545098,0.058192011,0.757737255,0.060752758,0.74102549,0.062689935
yolo11n,256,test_b01,baseline,0.643709804,0.069695553,0.656594118,0.05664122,0.680723529,0.050363632,0.636188235,0.068974603
yolo11n,256,test_b01,grid_search,0.551394118,0.133226103,0.608,0.109469545,0.597235294,0.125403642,0.62325098,0.098184837
yolo11n,256,test_b02,baseline,0.726927451,0.070172707,0.722184314,0.053642455,0.732570588,0.086537248,0.717135294,0.039829631
yolo11n,256,test_b02,grid_search,0.679282353,0.084001754,0.686452941,0.06653958,0.690362745,0.09469378,0.689623529,0.060229978
yolo11n,256,test_b03,baseline,0.601003922,0.087848023,0.550864706,0.099227254,0.707256863,0.183396536,0.471413725,0.084982925
yolo11n,256,test_b03,grid_search,0.362547059,0.109051717,0.342498039,0.094709587,0.352403922,0.165615656,0.38215098,0.089219485
yolo11n,1024,test_a01,baseline,0.95512549,0.003872769,0.942545098,0.0048169,0.944056863,0.008211803,0.941111765,0.007123669
yolo11n,1024,test_a01,grid_search,0.938613725,0.008223674,0.899727451,0.015501098,0.905427451,0.026820933,0.895115686,0.026105657
yolo11n,1024,test_a02,baseline,0.822715686,0.024944405,0.8303,0.018147815,0.829021569,0.020710329,0.832047059,0.024602092
yolo11n,1024,test_a02,grid_search,0.767684,0.031131265,0.778626,0.019991251,0.788888,0.03696473,0.77027,0.028885907
yolo11n,1024,test_a03,baseline,0.77227,0.033443222,0.773134,0.026166138,0.807758,0.026085097,0.741524,0.028335739
yolo11n,1024,test_a03,grid_search,0.741584,0.040588534,0.772266,0.040077209,0.78426,0.038744564,0.76146,0.047045067
yolo11n,1024,test_b01,baseline,0.732198,0.039843036,0.73113,0.030339106,0.737758,0.036706931,0.725702,0.035983049
yolo11n,1024,test_b01,grid_search,0.583418,0.067678368,0.634966,0.058386326,0.623448,0.072330566,0.649926,0.058004422
yolo11n,1024,test_b02,baseline,0.763122,0.048866395,0.744182,0.038648234,0.77148,0.069906833,0.72276,0.038309087
yolo11n,1024,test_b02,grid_search,0.736958,0.053904466,0.73239,0.041389781,0.74577,0.068939821,0.724298,0.0500017
yolo11n,1024,test_b03,baseline,0.649544,0.062082,0.596686,0.082728982,0.76437,0.14618868,0.500698,0.071328777
yolo11n,1024,test_b03,grid_search,0.403038,0.106541874,0.40341,0.098591862,0.378784,0.139434558,0.45875,0.089068076
