model,n_params,is_finetune,thread,iters,time_per_epoch,max_mem,metric,strategy,time_hptuning,time_inference,divider,overlap,map5095,map50,precision,recall,f1,n_all,n_fn,n_fp,cat
yolo11m,20.1,2_FT,5,4,8.992,19296.51,map,grid_search,11.16,27.96,4.0,0.0,0.4424,0.7344,0.8016,0.6919,0.7427,82188,25321,14079,C_finetuned_supervised
rtdetr-l,45.0,1_NOFT,5,2,37.022,20259.102,baseline,baseline,0.0,4.85,0.0,0.0,0.0001,0.0007,0.0015,0.0002,0.0003,82188,82174,9199,A_unfinetuned
rtdetr-l,45.0,1_NOFT,5,2,37.022,20259.102,count,bo_exploration,2.73,46.25,3.0,0.13,0.2943,0.5779,0.7122,0.5659,0.6307,82188,35679,18790,A_unfinetuned
rtdetr-l,45.0,1_NOFT,5,2,37.022,20259.102,count,bo_exploitation,2.4,9.33,1.0,0.13,0.0008,0.0049,0.0098,0.002,0.0034,82188,82021,16954,A_unfinetuned
rtdetr-l,45.0,1_NOFT,5,2,37.022,20259.102,count,grid_search,5.94,117.37,4.0,0.5,0.3152,0.6018,0.7085,0.6369,0.6708,82188,29840,21542,A_unfinetuned
rtdetr-l,45.0,2_FT,5,2,37.259,21025.095,baseline,baseline,0.0,4.26,0.0,0.0,0.0012,0.0073,0.0147,0.0012,0.0022,82188,82088,6703,B_finetuned_unsupervised
rtdetr-l,45.0,2_FT,5,2,37.259,21025.095,count,bo_exploration,4.18,117.37,4.0,0.47,0.3704,0.6731,0.7852,0.6599,0.7171,82188,27952,14838,B_finetuned_unsupervised
rtdetr-l,45.0,2_FT,5,2,37.259,21025.095,count,bo_exploitation,3.2,37.46,2.0,0.29,0.2256,0.5122,0.6808,0.448,0.5404,82188,45369,17263,B_finetuned_unsupervised
rtdetr-l,45.0,2_FT,5,2,37.259,21025.095,count,grid_search,5.74,115.47,4.0,0.5,0.3704,0.6731,0.7852,0.6599,0.7171,82188,27952,14838,B_finetuned_unsupervised
rtdetr-l,45.0,2_FT,5,2,37.259,21025.095,map,bo_exploration,10.49,37.88,2.0,0.31,0.2256,0.5122,0.6808,0.448,0.5404,82188,45369,17263,C_finetuned_supervised
rtdetr-l,45.0,2_FT,5,2,37.259,21025.095,map,bo_exploitation,8.66,45.73,4.0,-0.08,0.381,0.6807,0.783,0.6581,0.7151,82188,28097,14995,C_finetuned_supervised
rtdetr-l,45.0,2_FT,5,2,37.259,21025.095,map,grid_search,16.0,45.04,4.0,0.0,0.381,0.6807,0.783,0.6581,0.7151,82188,28097,14995,C_finetuned_supervised
yolo11n,2.6,1_NOFT,5,5,4.472,6896.244,baseline,baseline,0.0,3.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82220,82220,2024,A_unfinetuned
yolo11n,2.6,1_NOFT,5,5,4.472,6896.244,count,bo_exploration,5.38,78.58,4.0,0.62,0.4423,0.7679,0.8396,0.7081,0.7682,82220,24001,11124,A_unfinetuned
yolo11n,2.6,1_NOFT,5,5,4.472,6896.244,count,bo_exploitation,4.25,54.44,3.0,0.62,0.3947,0.7412,0.8242,0.6628,0.7347,82220,27726,11622,A_unfinetuned
yolo11n,2.6,1_NOFT,5,5,4.472,6896.244,count,grid_search,4.17,78.95,4.0,0.5,0.4423,0.7679,0.8396,0.7081,0.7682,82220,24001,11124,A_unfinetuned
yolo11n,2.6,2_FT,5,5,3.179,8234.284,baseline,baseline,0.0,3.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82220,82220,702,B_finetuned_unsupervised
yolo11n,2.6,2_FT,5,5,3.179,8234.284,count,bo_exploration,4.35,48.89,3.0,0.62,0.3909,0.7528,0.8334,0.6689,0.7421,82220,27224,10993,B_finetuned_unsupervised
yolo11n,2.6,2_FT,5,5,3.179,8234.284,count,bo_exploitation,5.57,48.78,3.0,0.62,0.3909,0.7528,0.8334,0.6689,0.7421,82220,27224,10993,B_finetuned_unsupervised
yolo11n,2.6,2_FT,5,5,3.179,8234.284,count,grid_search,3.56,67.95,4.0,0.5,0.4467,0.7941,0.8507,0.7224,0.7813,82220,22827,10425,B_finetuned_unsupervised
yolo11n,2.6,2_FT,5,5,3.179,8234.284,map,bo_exploration,8.45,28.38,2.0,0.27,0.2753,0.6037,0.7956,0.4439,0.5698,82220,45723,9377,C_finetuned_supervised
yolo11n,2.6,2_FT,5,5,3.179,8234.284,map,bo_exploitation,10.65,27.73,4.0,-0.01,0.4872,0.8181,0.8646,0.7429,0.7991,82220,21140,9566,C_finetuned_supervised
yolo11n,2.6,2_FT,5,5,3.179,8234.284,map,grid_search,10.96,26.7,4.0,0.0,0.4872,0.8181,0.8646,0.7429,0.7991,82220,21140,9566,C_finetuned_supervised
yolo11m,20.1,1_NOFT,5,5,10.737,22704.021,baseline,baseline,0.0,3.31,0.0,0.0,0.0,0.0004,0.0008,0.0,0.0001,82220,82217,3985,A_unfinetuned
yolo11m,20.1,1_NOFT,5,5,10.737,22704.021,count,bo_exploration,3.51,56.94,3.0,0.62,0.3921,0.6954,0.781,0.6486,0.7087,82220,28891,14955,A_unfinetuned
yolo11m,20.1,1_NOFT,5,5,10.737,22704.021,count,bo_exploitation,1.53,29.22,3.0,-0.01,0.3947,0.6922,0.7605,0.6486,0.7001,82220,28894,16796,A_unfinetuned
yolo11m,20.1,1_NOFT,5,5,10.737,22704.021,count,grid_search,4.36,76.06,4.0,0.5,0.412,0.7088,0.7839,0.6721,0.7237,82220,26963,15232,A_unfinetuned
yolo11m,20.1,2_FT,5,5,8.934,17459.557,baseline,baseline,0.0,3.29,0.0,0.0,0.0001,0.0005,0.001,0.0,0.0001,82220,82216,4035,B_finetuned_unsupervised
yolo11m,20.1,2_FT,5,5,8.934,17459.557,count,bo_exploration,3.37,73.76,4.0,0.56,0.4084,0.7162,0.7977,0.6753,0.7314,82220,26697,14078,B_finetuned_unsupervised
yolo11m,20.1,2_FT,5,5,8.934,17459.557,count,bo_exploitation,3.76,53.34,3.0,0.39,0.3942,0.6956,0.7835,0.6547,0.7133,82220,28393,14873,B_finetuned_unsupervised
yolo11m,20.1,2_FT,5,5,8.934,17459.557,count,grid_search,3.86,72.36,4.0,0.5,0.4084,0.7162,0.7977,0.6753,0.7314,82220,26697,14078,B_finetuned_unsupervised
yolo11m,20.1,2_FT,5,5,8.934,17459.557,map,bo_exploration,9.68,30.55,2.0,0.29,0.2856,0.5799,0.745,0.4819,0.5853,82220,42596,13563,C_finetuned_supervised
yolo11m,20.1,2_FT,5,5,8.934,17459.557,map,bo_exploitation,9.52,29.32,4.0,-0.12,0.443,0.7352,0.8029,0.6923,0.7435,82220,25295,13972,C_finetuned_supervised
yolo11m,20.1,2_FT,5,5,8.934,17459.557,map,grid_search,10.77,29.32,4.0,0.0,0.443,0.7352,0.8029,0.6923,0.7435,82220,25295,13972,C_finetuned_supervised
