model,cat,strategy,divider,overlap,met,score
yolo11n,B_finetuned_unsupervised,grid_search,4.0,0.5,time_inference,73.61
yolo11n,C_finetuned_supervised,bo_exploration,4.0,-0.12,time_inference,29.73
yolo11n,C_finetuned_supervised,bo_exploitation,4.0,-0.06,time_inference,29.72
yolo11n,C_finetuned_supervised,grid_search,4.0,0.0,time_inference,29.77
yolo11m,A_unfinetuned,baseline,0.0,0.0,time_inference,3.5
yolo11m,A_unfinetuned,bo_exploration,3.0,0.38,time_inference,53.46
yolo11m,A_unfinetuned,bo_exploitation,1.0,0.36,time_inference,6.83
yolo11m,A_unfinetuned,grid_search,4.0,0.5,time_inference,71.84
yolo11m,B_finetuned_unsupervised,baseline,0.0,0.0,time_inference,3.43
yolo11m,B_finetuned_unsupervised,bo_exploration,4.0,0.59,time_inference,69.78
yolo11m,B_finetuned_unsupervised,bo_exploitation,3.0,0.18,time_inference,32.32
yolo11m,B_finetuned_unsupervised,grid_search,4.0,0.5,time_inference,69.62
yolo11m,C_finetuned_supervised,bo_exploration,4.0,-0.12,time_inference,28.58
yolo11m,C_finetuned_supervised,bo_exploitation,4.0,-0.12,time_inference,28.57
yolo11m,C_finetuned_supervised,grid_search,4.0,0.0,time_inference,28.45
rtdetr-l,A_unfinetuned,baseline,0.0,0.0,time_inference,4.11
rtdetr-l,A_unfinetuned,bo_exploration,4.0,0.62,time_inference,110.55
rtdetr-l,A_unfinetuned,bo_exploitation,1.0,0.37,time_inference,8.24
rtdetr-l,A_unfinetuned,grid_search,4.0,0.5,time_inference,111.18
rtdetr-l,B_finetuned_unsupervised,baseline,0.0,0.0,time_inference,6.04
rtdetr-l,B_finetuned_unsupervised,bo_exploration,3.0,0.44,time_inference,72.15
rtdetr-l,B_finetuned_unsupervised,bo_exploitation,3.0,0.62,time_inference,73.16
rtdetr-l,B_finetuned_unsupervised,grid_search,4.0,0.5,time_inference,112.8
rtdetr-l,C_finetuned_supervised,bo_exploration,3.0,-0.12,time_inference,37.4
rtdetr-l,C_finetuned_supervised,bo_exploitation,4.0,0.21,time_inference,60.21
rtdetr-l,C_finetuned_supervised,grid_search,4.0,0.0,time_inference,43.99
rtdetr-l,A_unfinetuned,baseline,0.0,0.0,time_inference,4.3
rtdetr-l,A_unfinetuned,bo_exploration,4.0,0.5,time_inference,109.1
rtdetr-l,A_unfinetuned,bo_exploitation,3.0,0.62,time_inference,70.08
rtdetr-l,A_unfinetuned,grid_search,4.0,0.5,time_inference,109.26
rtdetr-l,B_finetuned_unsupervised,baseline,0.0,0.0,time_inference,4.57
rtdetr-l,B_finetuned_unsupervised,bo_exploration,2.0,0.53,time_inference,44.89
rtdetr-l,B_finetuned_unsupervised,bo_exploitation,3.0,0.62,time_inference,74.36
rtdetr-l,B_finetuned_unsupervised,grid_search,4.0,0.5,time_inference,115.88
rtdetr-l,C_finetuned_supervised,bo_exploration,4.0,-0.12,time_inference,45.04
rtdetr-l,C_finetuned_supervised,bo_exploitation,3.0,0.62,time_inference,74.71
rtdetr-l,C_finetuned_supervised,grid_search,4.0,0.5,time_inference,116.22
rtdetr-l,A_unfinetuned,baseline,0.0,0.0,time_inference,4.62
rtdetr-l,B_finetuned_unsupervised,baseline,0.0,0.0,time_inference,4.99
rtdetr-l,B_finetuned_unsupervised,bo_exploration,4.0,0.62,time_inference,112.34
rtdetr-l,B_finetuned_unsupervised,bo_exploitation,4.0,0.51,time_inference,110.56
rtdetr-l,B_finetuned_unsupervised,grid_search,4.0,0.5,time_inference,112.86
rtdetr-l,C_finetuned_supervised,bo_exploration,3.0,-0.12,time_inference,36.98
rtdetr-l,C_finetuned_supervised,bo_exploitation,2.0,0.05,time_inference,21.64
rtdetr-l,C_finetuned_supervised,grid_search,4.0,0.0,time_inference,44.21
yolo11n,A_unfinetuned,baseline,0.0,0.0,time_inference,3.01
yolo11n,A_unfinetuned,bo_exploration,4.0,0.62,time_inference,74.7
yolo11n,A_unfinetuned,bo_exploitation,3.0,0.52,time_inference,51.82
yolo11n,A_unfinetuned,grid_search,4.0,0.5,time_inference,74.67
yolo11n,B_finetuned_unsupervised,baseline,0.0,0.0,time_inference,2.89
yolo11n,B_finetuned_unsupervised,bo_exploration,3.0,0.62,time_inference,47.48
yolo11n,B_finetuned_unsupervised,bo_exploitation,3.0,0.47,time_inference,47.29
yolo11n,B_finetuned_unsupervised,grid_search,4.0,0.5,time_inference,65.12
yolo11n,C_finetuned_supervised,bo_exploration,1.0,0.23,time_inference,5.07
yolo11n,C_finetuned_supervised,bo_exploitation,3.0,-0.12,time_inference,24.38
yolo11n,C_finetuned_supervised,grid_search,4.0,0.0,time_inference,26.43
yolo11m,A_unfinetuned,baseline,0.0,0.0,time_inference,3.37
yolo11m,A_unfinetuned,bo_exploration,1.0,0.62,time_inference,6.59
yolo11m,A_unfinetuned,bo_exploitation,3.0,0.62,time_inference,51.93
yolo11m,A_unfinetuned,grid_search,4.0,0.5,time_inference,69.56
yolo11m,B_finetuned_unsupervised,baseline,0.0,0.0,time_inference,3.41
yolo11m,B_finetuned_unsupervised,bo_exploration,2.0,0.33,time_inference,30.15
yolo11m,B_finetuned_unsupervised,bo_exploitation,1.0,-0.02,time_inference,6.53
yolo11m,B_finetuned_unsupervised,grid_search,4.0,0.5,time_inference,68.39
yolo11n,A_unfinetuned,baseline,0.0,0.0,time_inference,3.02
yolo11n,A_unfinetuned,bo_exploration,4.0,0.62,time_inference,72.19
yolo11n,A_unfinetuned,bo_exploitation,3.0,0.52,time_inference,53.05
yolo11n,A_unfinetuned,grid_search,4.0,0.5,time_inference,72.34
yolo11n,B_finetuned_unsupervised,baseline,0.0,0.0,time_inference,3.05
yolo11n,B_finetuned_unsupervised,bo_exploration,1.0,0.05,time_inference,5.74
yolo11n,B_finetuned_unsupervised,bo_exploitation,3.0,0.61,time_inference,54.59
yolo11n,B_finetuned_unsupervised,grid_search,4.0,0.5,time_inference,74.18
yolo11n,C_finetuned_supervised,bo_exploration,3.0,0.02,time_inference,28.0
yolo11n,C_finetuned_supervised,bo_exploitation,3.0,-0.08,time_inference,28.0
yolo11n,C_finetuned_supervised,grid_search,4.0,0.0,time_inference,29.85
yolo11m,A_unfinetuned,baseline,0.0,0.0,time_inference,3.23
yolo11m,A_unfinetuned,bo_exploration,2.0,0.58,time_inference,37.99
yolo11m,B_finetuned_unsupervised,baseline,0.0,0.0,time_inference,3.35
yolo11m,B_finetuned_unsupervised,bo_exploration,4.0,0.19,time_inference,38.53
yolo11m,B_finetuned_unsupervised,bo_exploitation,2.0,0.54,time_inference,35.91
yolo11m,B_finetuned_unsupervised,grid_search,4.0,0.5,time_inference,69.55
yolo11m,C_finetuned_supervised,bo_exploration,4.0,-0.12,time_inference,28.31
yolo11m,C_finetuned_supervised,bo_exploitation,3.0,0.03,time_inference,26.4
yolo11m,C_finetuned_supervised,grid_search,4.0,0.0,time_inference,28.17
yolo11n,A_unfinetuned,baseline,0.0,0.0,time_inference,3.01
yolo11n,A_unfinetuned,bo_exploration,4.0,0.62,time_inference,72.81
yolo11n,A_unfinetuned,bo_exploitation,3.0,0.32,time_inference,32.1
yolo11n,A_unfinetuned,grid_search,4.0,0.5,time_inference,72.74
yolo11n,B_finetuned_unsupervised,baseline,0.0,0.0,time_inference,2.77
yolo11n,B_finetuned_unsupervised,bo_exploration,3.0,-0.12,time_inference,24.44
yolo11n,B_finetuned_unsupervised,bo_exploitation,2.0,0.18,time_inference,27.23
yolo11n,B_finetuned_unsupervised,grid_search,4.0,0.5,time_inference,65.46
yolo11n,C_finetuned_supervised,bo_exploration,4.0,-0.01,time_inference,26.47
yolo11n,C_finetuned_supervised,bo_exploitation,3.0,0.35,time_inference,29.48
yolo11n,C_finetuned_supervised,grid_search,4.0,0.0,time_inference,26.44
yolo11m,A_unfinetuned,baseline,0.0,0.0,time_inference,3.71
yolo11m,A_unfinetuned,bo_exploration,3.0,0.62,time_inference,53.79
yolo11m,A_unfinetuned,bo_exploitation,2.0,-0.01,time_inference,19.22
yolo11m,A_unfinetuned,grid_search,4.0,0.5,time_inference,73.71
yolo11m,B_finetuned_unsupervised,baseline,0.0,0.0,time_inference,3.34
yolo11m,B_finetuned_unsupervised,bo_exploration,1.0,0.23,time_inference,6.45
yolo11m,B_finetuned_unsupervised,bo_exploitation,1.0,0.17,time_inference,6.44
yolo11m,B_finetuned_unsupervised,grid_search,4.0,0.5,time_inference,68.57
yolo11m,C_finetuned_supervised,bo_exploration,2.0,-0.12,time_inference,17.68
yolo11m,C_finetuned_supervised,bo_exploitation,2.0,0.27,time_inference,29.84
yolo11m,C_finetuned_supervised,grid_search,4.0,0.0,time_inference,28.08
rtdetr-l,A_unfinetuned,baseline,0.0,0.0,time_inference,4.42
rtdetr-l,A_unfinetuned,bo_exploration,4.0,-0.12,time_inference,43.45
rtdetr-l,A_unfinetuned,bo_exploitation,3.0,-0.02,time_inference,36.46
rtdetr-l,A_unfinetuned,grid_search,4.0,0.5,time_inference,110.98
rtdetr-l,B_finetuned_unsupervised,baseline,0.0,0.0,time_inference,4.74
rtdetr-l,B_finetuned_unsupervised,bo_exploration,2.0,-0.05,time_inference,22.25
rtdetr-l,B_finetuned_unsupervised,bo_exploitation,2.0,0.56,time_inference,45.43
rtdetr-l,B_finetuned_unsupervised,grid_search,4.0,0.5,time_inference,113.83
rtdetr-l,C_finetuned_supervised,bo_exploration,4.0,-0.12,time_inference,44.68
rtdetr-l,C_finetuned_supervised,bo_exploitation,4.0,-0.09,time_inference,44.6
rtdetr-l,C_finetuned_supervised,grid_search,4.0,0.0,time_inference,44.61
yolo11n,A_unfinetuned,baseline,0.0,0.0,time_inference,3.07
yolo11n,A_unfinetuned,bo_exploration,3.0,-0.12,time_inference,29.2
yolo11n,A_unfinetuned,bo_exploitation,3.0,0.62,time_inference,56.8
