model,n_samples,split,strategy,n_obs,map_mean,map_std,f1_mean,f1_std,pre_mean,pre_std,rec_mean,rec_std
rtdetr-l,1024,test_b02,baseline,60,0.7857033333333334,0.07701606252597991,0.7627516666666667,0.06918367959713381,0.7707350000000001,0.09987653535019786,0.7615133333333334,0.05966483070116662
rtdetr-l,1024,test_b02,grid_search,60,0.7452266666666667,0.08361752485739361,0.7253900000000001,0.0840597803825712,0.7064033333333334,0.13246012635297585,0.7631066666666667,0.06638454452214336
rtdetr-l,1024,test_b03,baseline,60,0.7891166666666667,0.08146108183118703,0.734065,0.11494695729563888,0.80969,0.18471410589138623,0.6969650000000001,0.0932352316201029
rtdetr-l,1024,test_b03,grid_search,60,0.605225,0.13797857316461273,0.5408933333333333,0.14900759492265073,0.5001633333333333,0.20914456598302045,0.6675983333333334,0.10374918662808254
yolo11m,64,test_a01,baseline,50,0.866658,0.1265462069195054,0.8625020000000001,0.12583408332614265,0.8775379999999999,0.12784735619368234,0.848538,0.12572087627205056
yolo11m,64,test_a01,grid_search,50,0.81833,0.1612059390838885,0.806096,0.15189120429721117,0.8091360000000001,0.16478275959949354,0.813736,0.12220420140411017
yolo11m,64,test_a02,baseline,50,0.709576,0.11857195621225114,0.73045,0.11747853169053174,0.743666,0.12638305978255154,0.720522,0.11658782673528634
yolo11m,64,test_a02,grid_search,50,0.599994,0.1597908855539716,0.6365339999999999,0.15188246477497805,0.624248,0.16571510497334432,0.669512,0.12044305054460303
yolo11m,64,test_a03,baseline,50,0.726,0.11781148033175369,0.728206,0.11461445114925473,0.781762,0.12318473913233749,0.682816,0.11139639711317381
yolo11m,64,test_a03,grid_search,50,0.650924,0.16130942703072132,0.679478,0.14148530649895077,0.694044,0.16371596877718755,0.676604,0.11963543936066941
yolo11m,64,test_b01,baseline,50,0.5951879999999999,0.11135772590335771,0.618508,0.10232630846503568,0.6423000000000001,0.11641175864585335,0.599786,0.09944340819105639
yolo11m,64,test_b01,grid_search,50,0.50681,0.15645080370388592,0.568944,0.13455702403950284,0.557692,0.1531919455441174,0.5865079999999999,0.11953879028864846
yolo11m,64,test_b02,baseline,50,0.598266,0.13301345123017924,0.612054,0.11483205697976535,0.608016,0.14664603414553098,0.630824,0.10998124804915144
yolo11m,64,test_b02,grid_search,50,0.554064,0.15242363328458444,0.581432,0.1336483452183073,0.561624,0.15306925678080682,0.621938,0.11383976725276308
yolo11m,64,test_b03,baseline,50,0.46661,0.15328454433051053,0.412384,0.14548964387017166,0.519536,0.26605394094784157,0.393984,0.11288862917016206
yolo11m,64,test_b03,grid_search,50,0.29825199999999996,0.16444652283788,0.27200199999999997,0.14527795805957344,0.275704,0.20079153262901855,0.352446,0.13317491062661976
yolo11m,256,test_a01,baseline,50,0.9340219999999999,0.007839494204842232,0.920566,0.007436056942838911,0.922736,0.011589505456864583,0.9186,0.012484782573932457
yolo11m,256,test_a01,grid_search,50,0.917622,0.019833750764486156,0.891938,0.02980615530184249,0.898154,0.03590743320238408,0.886848,0.03710624701242286
yolo11m,256,test_a02,baseline,50,0.821244,0.03183198981386814,0.8257059999999999,0.02791622606211342,0.8397199999999999,0.03881998748803802,0.81331,0.03239543461158485
yolo11m,256,test_a02,grid_search,49,0.7526877551020409,0.05125524214106079,0.7565428571428571,0.04755165174137838,0.7763571428571429,0.066946782347374,0.7434448979591837,0.0659569084744745
yolo11m,256,test_a03,baseline,49,0.8339367346938776,0.020533404632021274,0.8209367346938776,0.018942420360546476,0.8553795918367347,0.022375246549776056,0.7895897959183674,0.024432801081895678
yolo11m,256,test_a03,grid_search,49,0.8203673469387756,0.04057199048068292,0.8227224489795919,0.03720960486054039,0.8338469387755102,0.04464175503401504,0.8123285714285714,0.03410180835869755
yolo11m,256,test_b01,baseline,49,0.7300734693877552,0.034876274023982544,0.7227734693877551,0.02759652586460692,0.7318510204081633,0.04517703197076004,0.7157265306122449,0.02913675925349142
yolo11m,256,test_b01,grid_search,49,0.6521448979591837,0.12336727865271599,0.6869,0.0901618198019539,0.6682530612244898,0.12180101618014935,0.7134734693877551,0.06118018393616176
yolo11m,256,test_b02,baseline,49,0.6721979591836734,0.0975028172451868,0.6699857142857144,0.07297978601411943,0.6698530612244898,0.11362494793185608,0.6803142857142858,0.06257521474194075
yolo11m,256,test_b02,grid_search,49,0.6376673469387755,0.11035591924117452,0.6505836734693877,0.08527471622873427,0.6346857142857143,0.12241223386573745,0.6807551020408164,0.07927267304801115
yolo11m,256,test_b03,baseline,49,0.6044510204081632,0.11062276386148438,0.5229530612244898,0.12206527984040755,0.5998510204081633,0.24801502484934335,0.5220428571428571,0.10330113745743559
yolo11m,256,test_b03,grid_search,49,0.4017448979591837,0.15431126290340424,0.3460061224489796,0.12996561469635481,0.3271204081632653,0.17932036505882407,0.43913469387755105,0.13539214888460793
yolo11m,1024,test_a01,baseline,47,0.9555851063829788,0.0044810217547673024,0.9395127659574468,0.005124053126581856,0.9403297872340426,0.010766552774653488,0.9388297872340425,0.007436891440754848
yolo11m,1024,test_a01,grid_search,46,0.9390826086956522,0.011889665061123475,0.9049434782608696,0.024111469397814392,0.9054760869565217,0.03213781562640366,0.9052804347826087,0.030061704095744417
yolo11m,1024,test_a02,baseline,46,0.8759934782608695,0.014653697329023406,0.8705782608695651,0.012656573400472416,0.8771173913043478,0.01947136135568024,0.8645760869565217,0.01802205050342013
yolo11m,1024,test_a02,grid_search,45,0.826428888888889,0.024971443892995247,0.820848888888889,0.02119904181177474,0.8362355555555556,0.03747773372620768,0.8083044444444444,0.038327049287294586
yolo11m,1024,test_a03,baseline,45,0.8953155555555555,0.013244740904078164,0.8752511111111111,0.011613092576567159,0.8927066666666666,0.014114554061805727,0.8587377777777778,0.01772799902682051
yolo11m,1024,test_a03,grid_search,45,0.8923822222222223,0.023210707647440442,0.8793711111111111,0.01916360924230921,0.8909311111111111,0.022353897587976405,0.8684822222222222,0.024156500055875146
yolo11m,1024,test_b01,baseline,45,0.8284555555555555,0.017673279208449057,0.8048333333333334,0.013729480556948843,0.8119777777777778,0.02754866676273173,0.7986800000000001,0.019066553294852576
yolo11m,1024,test_b01,grid_search,45,0.7398444444444444,0.08924793747439962,0.7528777777777778,0.06895322488631135,0.7382066666666666,0.09154646212319037,0.7708022222222223,0.05117096783816923
yolo11m,1024,test_b02,baseline,45,0.7125533333333334,0.07015281242337397,0.6944555555555555,0.05265546486166444,0.6607555555555555,0.08197648930016335,0.7391066666666666,0.050683830127207605
yolo11m,1024,test_b02,grid_search,44,0.711625,0.07745626860694767,0.6877477272727273,0.06274555664296494,0.6666681818181819,0.10674055651869004,0.7214386363636364,0.05391825516425504
yolo11m,1024,test_b03,baseline,44,0.7119681818181818,0.07110901481046558,0.6065318181818182,0.09117873011028564,0.6344409090909091,0.20403321585282963,0.63,0.0852582069977144
yolo11m,1024,test_b03,grid_search,43,0.4910744186046511,0.10873343353406215,0.4167255813953488,0.09435220766847925,0.38899069767441863,0.14151664518277482,0.498293023255814,0.11597078120381557
yolo11n,64,test_a01,baseline,53,0.8882377358490566,0.01704149039183593,0.8817603773584906,0.013551104689891538,0.8881415094339623,0.016916849065153325,0.8756962264150944,0.016990687067469448
yolo11n,64,test_a01,grid_search,53,0.8309943396226415,0.055325145260660666,0.8179264150943396,0.053186895258944364,0.8173320754716982,0.07112118794322642,0.8206792452830189,0.045273550431242045
yolo11n,64,test_a02,baseline,53,0.723456603773585,0.0567766322105046,0.7455698113207547,0.04473378771605704,0.7549622641509434,0.054830038883861884,0.737811320754717,0.04554148007956533
